ProgramID,ProgramCode,LocalityID,LocalityName,StartDate,EndDate,PracticeID,PracticeCode,TinID,TaxID,StateID,StateCode,StateName,CountyID,CountyName,ZipCode,LocationName
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21061,Baltimore Washington Medical Center (ADV_23)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21061,Crain Towers (ADV_27)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21061,PET Center @ BWMC (ADV_40)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21061,Advanced Radiology Glen Burnie (ADV_12)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21061,Aeillo Center at BWMC (ADV_22)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21076,Advanced Radiology at Arundel Mills (ADV_5)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21108,Advanced Radiology Shipley`s Choice (ADV_20)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,75,Anne Arundel County,21401,Advanced Radiology Annapolis (ADV_4)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,131,Baltimore city,21224,Advanced Radiology - Fleet Street (ADV_63)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,131,Baltimore city,21201,Camden Yards (ADV_24)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,GBMC IMAGING CENTER (ADV_61)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,GBMC Pavilion (ADV_32)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,Greater Baltimore Medical Center (ADV_33)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,MRI at St Joseph Medical Center (ADV_38)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,SJMC Breast Center (ADV_43)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,St Joseph Hosp Mobile MR (ADV_44)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21204,St Joseph Hospital (ADV_45)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21208,Advanced PET Imaging of Maryland (ADV_3)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21208,Pomona Square (ADV_41)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21209,Advanced Radiology Quarry Lake (ADV_16)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21228,Advanced Imaging at Maiden Choice (ADV_2)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21236,Perry Hall (ADV_39)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21237,Advanced Seven Square Imaging (ADV_21)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21237,Franklin Imaging LLC (ADV_30)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21237,Medical Arts Building (ADV_36)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21244,Read (ADV_42)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21244,Washington Open MRI (ADV_49)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21222,Merritt Boulevard (ADV_37)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21117,Advanced Radiology Owings Mills (ADV_14)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21093,Advanced Radiology at Lutherville (ADV_7)
38,ADV,1900-06-06,ADV,2000-01-01,2024-12-31,1,ADV,25,52-2055746,27,MD,Maryland,132,Baltimore County,21093,Advanced Radiology Timonium Crossing - JV (ADV_52)
